Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ
NguyÖt KhuyÕt DËt ¶nh Y	0	2	1	\spr\item\equip\armor\obj-ma-cloth102.spr	24	2	3	Bé trang bÞ Hoa S¬n KiÕm cÊp NguyÖt KhuyÕt (6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	10									963	941	981	4215	2725	3545	423	451	6	2353	3910	2	10			
NguyÖt KhuyÕt DËt ¶nh KiÕm	0	0	0	\spr\item\equip\weapon\obj-sword38.spr	9	1	3	Bé trang bÞ Hoa S¬n KiÕm cÊp NguyÖt KhuyÕt (7)	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	10									2714	861	1085	1024	1341	3545	423	451	7	2353	130	2	10			
NguyÖt KhuyÕt DËt ¶nh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes102.spr	26	2	2	Bé trang bÞ Hoa S¬n KiÕm cÊp NguyÖt KhuyÕt (8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	10									963	901	981	4216	1264	1305	423	451	8	2353	1284	2	10			
NguyÖt KhuyÕt DËt ¶nh H­¬ng Nang	0	9	1	\spr\item\equip\waist\obj-waist90.spr	36	1	2	Bé trang bÞ Hoa S¬n KiÕm cÊp NguyÖt KhuyÕt (9)	3	99999	10	0																						36	120	39	10									962	881	982	1024	1341	1305	423	451	9	3652	1284	2	10			
NguyÖt KhuyÕt DËt ¶nh Thiªn C¬ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring90.spr	37	1	1	Bé trang bÞ Hoa S¬n KiÕm cÊp NguyÖt KhuyÕt (10)	4	99999	10	0																						36	120	39	10									962	921	982	4217	1341	1305	423	451	10	130		2	10			
NguyÖt KhuyÕt Thanh Phong H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck90.spr	36	2	1	Bé trang bÞ Hoa S¬n KhÝ cÊp NguyÖt KhuyÕt (1)	0	99999	10	0																						36	120	39	10									962	941	981	4215	1004	1305	424	452	1	3655	1284	2	10			
NguyÖt KhuyÕt Thanh Phong Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap102.spr	28	2	2	Bé trang bÞ Hoa S¬n KhÝ cÊp NguyÖt KhuyÕt (2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	10									963	861	982	1024	1341	3545	424	452	2	2353	1284	2	10			
NguyÖt KhuyÕt Thanh Phong §Þa Vi ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring90.spr	37	1	1	Bé trang bÞ Hoa S¬n KhÝ cÊp NguyÖt KhuyÕt (3)	1	99999	10	0																						36	120	39	10									962	901	981	4216	1341	1305	424	452	3	130		2	10			
NguyÖt KhuyÕt Thanh Phong Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle90.spr	34	1	2	Bé trang bÞ Hoa S¬n KhÝ cÊp NguyÖt KhuyÕt (4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	10									963	881	982	1024	1341	1305	424	452	4	2353	3658	2	10			
NguyÖt KhuyÕt Thanh Phong Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash90.spr	32	2	1	Bé trang bÞ Hoa S¬n KhÝ cÊp NguyÖt KhuyÕt (5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	10									963	921	981	4217	1341	1305	424	452	5	3656	1284	2	10			
NguyÖt KhuyÕt Thanh Phong Y	0	2	1	\spr\item\equip\armor\obj-ma-cloth102.spr	24	2	3	Bé trang bÞ Hoa S¬n KhÝ cÊp NguyÖt KhuyÕt (6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	10									963	941	981	4215	2725	3545	424	452	6	2353	3911	2	10			
NguyÖt KhuyÕt Thanh Phong KiÕm	0	0	0	\spr\item\equip\weapon\obj-sword38.spr	9	1	3	Bé trang bÞ Hoa S¬n KhÝ cÊp NguyÖt KhuyÕt (7)	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	10									2719	861	1124	1024	1343	3545	424	452	7	2353	130	2	10			
NguyÖt KhuyÕt Thanh Phong Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes102.spr	26	2	2	Bé trang bÞ Hoa S¬n KhÝ cÊp NguyÖt KhuyÕt (8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	10									963	901	981	4216	1264	1305	424	452	8	2353	1284	2	10			
NguyÖt KhuyÕt Thanh Phong H­¬ng Nang	0	9	1	\spr\item\equip\waist\obj-waist90.spr	36	1	2	Bé trang bÞ Hoa S¬n KhÝ cÊp NguyÖt KhuyÕt (9)	3	99999	10	0																						36	120	39	10									962	881	982	1024	1341	1305	424	452	9	3657	1284	2	10			
NguyÖt KhuyÕt Thanh Phong §Þa TÝch ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring90.spr	37	1	1	Bé trang bÞ Hoa S¬n KhÝ cÊp NguyÖt KhuyÕt (10)	4	99999	10	0																						36	120	39	10									962	921	982	4217	1341	1305	424	452	10	130		2	10			
Ç¬À¤ÎåÐÐÓ¡	0	13	0	\spr\item\script\wuxingyin_1.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	1	0																						36	120											3404		3414					254	1			1	1	20		
Ç¬À¤ÎåÐÐÓ¡	0	13	0	\spr\item\script\wuxingyin_1.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	2	0																						36	120											3405		3415					255	1			2	2	40		
Ç¬À¤ÎåÐÐÓ¡	0	13	0	\spr\item\script\wuxingyin_1.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	3	0																						36	120											3406		3416					256	1			2	3	80		
Ç¬À¤ÎåÐÐÓ¡	0	13	0	\spr\item\script\wuxingyin_1.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	4	0																						36	120											3407		3417					257	1			3	4	160		
Ç¬À¤ÎåÐÐÓ¡	0	13	0	\spr\item\script\wuxingyin_2.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	5	0																						36	120											3408		3418					258	1			3	5	320		
Ç¬À¤ÎåÐÐÓ¡	0	13	0	\spr\item\script\wuxingyin_2.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	6	0																						36	120											3409		3419					259	1			4	6	640		
Ç¬À¤ÎåÐÐÓ¡	0	13	0	\spr\item\script\wuxingyin_2.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	7	0																						36	120											3410		3420					260	1			4	7	1280		
Ç¬À¤ÎåÐÐÓ¡	0	13	0	\spr\item\script\wuxingyin_3.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	8	0																						36	120											3411		3421					261	1			5	8	2560		
Ç¬À¤ÎåÐÐÓ¡	0	13	0	\spr\item\script\wuxingyin_3.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	9	0																						36	120											3412		3422					262	1			5	9	5120		
Ç¬À¤ÎåÐÐÓ¡	0	13	0	\spr\item\script\wuxingyin_3.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	10	0																						36	120											3413		3423					263	1			6	10	10240		
T©n NhËm Hµnh Ên Gi¸m (H¹)	0	13	0	\spr\item\script\wuxingyin_3.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	10	0																						36	120											4175	4176	4177	4178	4179											
T©n NhËm Hµnh Ên Gi¸m (Trung)	0	13	0	\spr\item\script\wuxingyin_3.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	10	0																						36	120											4180	4181	4182	4183	4184											
T©n NhËm Hµnh Ên Gi¸m (Th­îng)	0	13	0	\spr\item\script\wuxingyin_3.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	10	0																						36	120											4185	4186	4187	4188	4189											
Kinh L«i	0	10	34	\spr\item\equip\horse\horse043.spr	40	2	3	<color=Yellow> Kinh L«i ThÇn C©u trong truyÒn thuyÕt, nhanh nh­ ®iÖn. <color>	5	99999	10	0	111	120%	120%	93	1500	1500	150	700	700													36	10	46	3									4057	4194	3864		3706											
ThÇn M· - D­¬ng Sa	0	10	26	\spr\item\equip\horse\horse039.spr	40	2	3	<color=Yellow> nhÊt kþ D­¬ng Sa, bÊt kiÕn k× ¶nh. <color>	5	99999	10	0	111	120	120	93	1500	1500	150	700	700													46	3	36	10									4195	4210	4200		4205											
ThÇn M· - Ngù Phong	0	10	27	\spr\item\equip\horse\horse040.spr	40	2	3	<color=Yellow> nhÊt hµnh thiªn lý, nh­ ngù phong hµnh. <color>	5	99999	10	0	111	120	120	93	1500	1500	150	1000	1000													46	3	36	10									4196	4211	4201		4206											
ThÇn M· - Truy §iÖn	0	10	28	\spr\item\equip\horse\horse041.spr	40	2	3	<color=Yellow> cæ kim thÊt tuÊn, kþ tø Truy §iÖn. <color>	5	99999	10	0	111	120	120	93	1500	1500	150	700	700													46	3	36	10									4197	4212	4202		4207											
ThÇn M· - L­u Tinh	0	10	29	\spr\item\equip\horse\horse042.spr	40	2	3	<color=Yellow> truy tinh trôc nguyÖt, h×nh nh­îc l­u tinh. <color>	5	99999	10	0	111	120	120	93	1500	1500	150	800	800													46	3	36	10									4198	4213	4203		4208											
ThÇn M· - Kinh L«i	0	10	34	\spr\item\equip\horse\horse043.spr	40	2	3	<color=Yellow> Kinh L«i ThÇn C©u trong truyÒn thuyÕt, nhanh nh­ ®iÖn. <color>	5	99999	10	0	111	130	130	93	1500	1500	150	700	700													36	10	46	3									4199	4214	4204		4209											
Phi phong PhÖ Quang 	0	12	0	\spr\item\equip\pifengtubiao\pifeng_07.spr	338	1	1	Phi Phong PhÖ Quang	5	99999	7	0																						36	60																								1	6	32
Phi phong KhÊp ThÇn	0	12	0	\spr\item\equip\pifengtubiao\pifeng_08.spr	338	1	1	Phi Phong KhÊp ThÇn	5	99999	8	0																						36	60																								1	7	44
TruyÒn kú-Cè S¬n Ph¸ NguyÖt Hé UyÓn Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	T­îng h¶i th¸i tinh thiÕt cña thËp ®¹i m«n ph¸i t¹o thµnh	3	99999	10	0	30	135	135	31	80	80																36	120											4288	4292	4290	4303	4301	4304				4300		2	10			
TruyÒn kú-Cè S¬n Ph¸ NguyÖt Hé UyÓn Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	T­îng h¶i th¸i tinh thiÕt cña thËp ®¹i m«n ph¸i t¹o thµnh	3	99999	10	0	30	135	135	31	80	80																36	120											4288	4292	4290	4303	4301	4304				4300	3047	2	10			
TruyÒn kú-Cè S¬n Ph¸ NguyÖt Hé UyÓn Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	T­îng h¶i th¸i tinh thiÕt cña thËp ®¹i m«n ph¸i t¹o thµnh	3	99999	10	0	30	135	135	31	80	80																36	120											4288	4292	4290	4303	4301	4304				4300	3135	2	10			
TruyÒn kú-Cè S¬n Ph¸ NguyÖt Hé UyÓn Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	T­îng h¶i th¸i tinh thiÕt cña thËp ®¹i m«n ph¸i t¹o thµnh	3	99999	10	0	30	135	135	31	80	80																36	120											4288	4292	4290	4303	4301	4304				4300	3136	2	10			
TruyÒn kú-Cè S¬n Ph¸ NguyÖt Hé UyÓn Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	T­îng h¶i th¸i tinh thiÕt cña thËp ®¹i m«n ph¸i t¹o thµnh	3	99999	10	0	30	135	135	31	80	80																36	120											4288	4292	4290	4303	4301	4304				4300	3137	2	10			
TruyÒn kú-Cè S¬n Ph¸ NguyÖt Hé UyÓn Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	T­îng h¶i th¸i tinh thiÕt cña thËp ®¹i m«n ph¸i t¹o thµnh	3	99999	10	0	30	135	135	31	80	80																36	120											4288	4292	4290	4303	4301	4304				4300	3138	2	10			
TruyÒn Kú-Cæ S¬n Ph¸ NguyÖt C¶nh §íi	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	T­îng h¶i th¸i tinh thiÕt cña thËp ®¹i m«n ph¸i t¹o thµnh	0	99999	10	0																						36	120											4288	4305	4290	4303	4301	4304				4300		2	10			
TruyÒn Kú-Cæ S¬n Ph¸ NguyÖt C¶nh §íi	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	T­îng h¶i th¸i tinh thiÕt cña thËp ®¹i m«n ph¸i t¹o thµnh	0	99999	10	0																						36	120											4288	4305	4290	4303	4301	4304				4300	3048	2	10			
TruyÒn Kú-Cæ S¬n Ph¸ NguyÖt C¶nh §íi	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	T­îng h¶i th¸i tinh thiÕt cña thËp ®¹i m«n ph¸i t¹o thµnh	0	99999	10	0																						36	120											4288	4305	4290	4303	4301	4304				4300	3131	2	10			
TruyÒn Kú-Cæ S¬n Ph¸ NguyÖt C¶nh §íi	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	T­îng h¶i th¸i tinh thiÕt cña thËp ®¹i m«n ph¸i t¹o thµnh	0	99999	10	0																						36	120											4288	4305	4290	4303	4301	4304				4300	3132	2	10			
TruyÒn Kú-Cæ S¬n Ph¸ NguyÖt C¶nh §íi	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	T­îng h¶i th¸i tinh thiÕt cña thËp ®¹i m«n ph¸i t¹o thµnh	0	99999	10	0																						36	120											4288	4305	4290	4303	4301	4304				4300	3133	2	10			
TruyÒn Kú-Cæ S¬n Ph¸ NguyÖt C¶nh §íi	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	T­îng h¶i th¸i tinh thiÕt cña thËp ®¹i m«n ph¸i t¹o thµnh	0	99999	10	0																						36	120											4288	4305	4290	4303	4301	4304				4300	3134	2	10			
TruyÒn Kú-Vò LiÖt B¾c ThÇn Kh«i	0	7	0	\spr\item\equip\cap\obj-ma-cap074.spr	31	2	2	<color=Yellow>Dµnh cho ng­êi chiÕn th¾ng cña gi¶i ®Êu Thiªn H¹ §Ö NhÊt Bang. Mang lªn ng­êi sÏ cã søc m¹nh tét ®Ønh <color>	2	99999	10	0	30	360	360	31	85	85																36	120											4289	4295	4291	4297	4306	4307	425	453	1	3884	4308	2	10			
TruyÒn Kú-Vò LiÖt TËp Hoµng Gi¸p	0	2	0	\spr\item\equip\armor\obj-ma-cloth074.spr	23	2	3	<color=Yellow>Dµnh cho ng­êi chiÕn th¾ng cña gi¶i ®Êu Thiªn H¹ §Ö NhÊt Bang. Mang lªn ng­êi sÏ cã søc m¹nh tét ®Ønh <color>	0	99999	10	0	30	720	720	31	90	90																36	120											4289	4293	4291	4309	4310	4307	425	453	2	3885	4311	2	10			
TruyÒn Kú-Vò LiÖt Khung Long Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes40.spr	26	2	2	<color=Yellow>Dµnh cho ng­êi chiÕn th¾ng cña gi¶i ®Êu Thiªn H¹ §Ö NhÊt Bang. Mang lªn ng­êi sÏ cã søc m¹nh tét ®Ønh <color>	1	99999	10	0	30	160	160	31	80	80																36	120											4289	4296	4291	4312	4313	4307	425	453	3	3886	4314	2	10			
TruyÒn Kú-Vò LiÖt V« TËn Béi	0	9	1	\spr\item\equip\waist\obj-waist31.spr	36	1	2	<color=Yellow>Dµnh cho ng­êi chiÕn th¾ng cña gi¶i ®Êu Thiªn H¹ §Ö NhÊt Bang. Mang lªn ng­êi sÏ cã søc m¹nh tét ®Ønh <color>	3	99999	10	0																						36	120											4289	4315	4291	4316	4306	4307	425	453	4	3887	4314	2	10			
TruyÒn Kú-Vò LiÖt Chi Tinh D· Yªu §íi	0	6	0	\spr\item\equip\sash\obj-sash74.spr	33	2	1	<color=Yellow>Dµnh cho ng­êi chiÕn th¾ng cña gi¶i ®Êu Thiªn H¹ §Ö NhÊt Bang. Mang lªn ng­êi sÏ cã søc m¹nh tét ®Ønh <color>	4	99999	10	0	30	160	160	31	80	80																36	120											4289	4294	4291	4312	4306	4307	425	453	5	3888	4314	2	10			
Siªu Quang-Hoµng Kim	0	10	32	\spr\item\equip\horse\horse003.spr	40	2	3	<color=Yellow>Si Quang Hog Kim.<color>	5	99999	10	0	111	120	120	93	1200	1200																36	150											4197	3140	2253	130	4207	3709										
Phi phong HuyÒn Kim	0	12	0	\spr\item\equip\pifengtubiao\pifeng_09.spr	338	1	1	HuyÒn Kim, HuyÒn C¬ V« Nh©n Ngé, Kim Tinh Hµ NhËt HiÖn	5	99999	9	0																						36	60																								1	8	44
Phi phong V« Cùc	0	12	0	\spr\item\equip\pifengtubiao\pifeng_10.spr	338	1	1	V« Cùc, V« Du Thiªn §Þa Gian, Cùc ¸i ThÕ Gian T×nh	5	99999	10	0																						36	60																								1	9	44
Phi phong K×nh Thiªn	0	12	0	\spr\item\equip\pifengtubiao\pifeng_11.spr	338	1	1	Phi Phong K×nh Thiªn	5	99999	11	0																						36	60																								1	10	44
DiÖu D­¬ng Méng Long Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck103.spr	36	2	1	Bé trang bÞ ThiÕu L©m Ch­ëng cÊp DiÖu D­¬ng  (1)	2	99999	10	0																						36	120	39	0									4505	4488	4506	4507	4510	4512	426	454	1	4514	1285	2	10			
DiÖu D­¬ng Méng Long T¨ng M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap108.spr	28	2	2	Bé trang bÞ ThiÕu L©m Ch­ëng cÊp DiÖu D­¬ng  (2)	1	99999	10	0	30	360	360	31	85	85																36	120	39	0									4505	4490	4506	4497	4511	4513	426	454	2	1435	4528	2	10			
DiÖu D­¬ng Méng Long Kim ThiÒn ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring103.spr	37	1	1	Bé trang bÞ ThiÕu L©m Ch­ëng cÊp DiÖu D­¬ng  (3)	3	99999	10	0																						36	120	39	0									4505	4487	4506	4508	4511	4512	426	454	3	130		2	10			
DiÖu D­¬ng Méng Long Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle103.spr	34	1	2	Bé trang bÞ ThiÕu L©m Ch­ëng cÊp DiÖu D­¬ng  (4)	4	99999	10	0	30	135	135	31	80	80																36	120	39	0									4505	4489	4506	4497	4511	4512	426	454	4	1435	1285	2	10			
DiÖu D­¬ng Méng Long Yªu §íi	0	6	0	\spr\item\equip\sash\obj-sash103.spr	32	2	1	Bé trang bÞ ThiÕu L©m Ch­ëng cÊp DiÖu D­¬ng  (5)	0	99999	10	0	30	160	160	31	80	80																36	120	39	0									4505	4491	4506	4509	4511	4512	426	454	5	4515	1285	2	10			
DiÖu D­¬ng Méng Long Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth108.spr	24	2	3	Bé trang bÞ ThiÕu L©m Ch­ëng cÊp DiÖu D­¬ng  (6)	2	99999	10	0	30	720	720	31	90	90																36	120	39	0									4505	4488	4506	4507	4527	4513	426	454	6	1435	4516	2	10			
DiÖu D­¬ng Méng Long TriÒn Thñ	0	0	6	\spr\item\equip\weapon\obj-glove17.spr	9	1	2	Bé trang bÞ ThiÕu L©m Ch­ëng cÊp DiÖu D­¬ng  (7)	1	99999	10	0	28	1	1	29	1	1	167	-30	-30	31	99	99										36	120	39	0									1288	4490	1086	4497	4511	4513	426	454	7	1435	130	2	10			
DiÖu D­¬ng Méng Long T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes108.spr	26	2	2	Bé trang bÞ ThiÕu L©m Ch­ëng cÊp DiÖu D­¬ng  (8)	3	99999	10	0	30	160	160	31	80	80																36	120	39	0									4505	4487	4506	4508	4526	4512	426	454	8	1435	1285	2	10			
DiÖu D­¬ng Méng Long Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist103.spr	36	1	2	Bé trang bÞ ThiÕu L©m Ch­ëng cÊp DiÖu D­¬ng  (9)	4	99999	10	0																						36	120	39	0									4505	4489	4506	4497	4511	4512	426	454	9	4529	1285	2	10			
DiÖu D­¬ng Méng Long HuyÒn Trang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring103.spr	37	1	1	Bé trang bÞ ThiÕu L©m Ch­ëng cÊp DiÖu D­¬ng  (10)	0	99999	10	0																						36	120	39	0									4505	4491	4506	4509	4511	4512	426	454	10	130		2	10			
DiÖu D­¬ng Phôc Ma PhËt Ch©u	0	4	1	\spr\item\equip\nick\obj-neck103.spr	36	2	1	Bé trang bÞ ThiÕu L©m C«n cÊp DiÖu D­¬ng  (1)	4	99999	10	0																						36	120	39	0									4505	4488	4506	4507	4510	4512	427	455	1	4517	1285	2	10			
DiÖu D­¬ng Phôc Ma T¨ng M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap108.spr	28	2	2	Bé trang bÞ ThiÕu L©m C«n cÊp DiÖu D­¬ng  (2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	0									4505	4490	4506	4497	4511	4513	427	455	2	1435	1285	2	10			
DiÖu D­¬ng Phôc Ma §¹i Tõ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring103.spr	37	1	1	Bé trang bÞ ThiÕu L©m C«n cÊp DiÖu D­¬ng  (3)	2	99999	10	0																						36	120	39	0									4505	4487	4506	4508	4511	4512	427	455	3	130		2	10			
DiÖu D­¬ng Phôc Ma Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle103.spr	34	1	2	Bé trang bÞ ThiÕu L©m C«n cÊp DiÖu D­¬ng  (4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	0									4505	4489	4506	4497	4511	4512	427	455	4	1435	1285	2	10			
DiÖu D­¬ng Phôc Ma Yªu §íi	0	6	0	\spr\item\equip\sash\obj-sash103.spr	33	2	1	Bé trang bÞ ThiÕu L©m C«n cÊp DiÖu D­¬ng  (5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	0									4505	4491	4506	4509	4511	4512	427	455	5	4518	1285	2	10			
DiÖu D­¬ng Phôc Ma Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth108.spr	22	2	3	Bé trang bÞ ThiÕu L©m C«n cÊp DiÖu D­¬ng  (6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	0									4505	4488	4506	4507	4527	4513	427	455	6	1435	4519	2	10			
DiÖu D­¬ng Phôc Ma Ph¸p C«n	0	0	2	\spr\item\equip\weapon\obj-spear32.spr	11	1	4	Bé trang bÞ ThiÕu L©m C«n cÊp DiÖu D­¬ng  (7)	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	0									4547	4490	1086	4497	4511	4513	427	455	7	1435	130	2	10			
DiÖu D­¬ng Phôc Ma T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes108.spr	26	2	2	Bé trang bÞ ThiÕu L©m C«n cÊp DiÖu D­¬ng  (8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	0									4505	4487	4506	4508	4526	4512	427	455	8	1435	4520	2	10			
DiÖu D­¬ng Phôc Ma Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist103.spr	36	1	2	Bé trang bÞ ThiÕu L©m C«n cÊp DiÖu D­¬ng  (9)	1	99999	10	0																						36	120	39	0									4505	4489	4506	4497	4511	4512	427	455	9	4521	1285	2	10			
DiÖu D­¬ng Phôc Ma §¹i Bi ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring103.spr	37	1	1	Bé trang bÞ ThiÕu L©m C«n cÊp DiÖu D­¬ng  (10)	3	99999	10	0																						36	120	39	0									4505	4491	4506	4509	4511	4512	427	455	10	130		2	10			
DiÖu D­¬ng T­ Kh«ng H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck103.spr	36	2	1	Bé trang bÞ ThiÕu L©m §ao cÊp DiÖu D­¬ng  (1)	4	99999	10	0																						36	120	39	0									4505	4488	4506	4507	4510	4512	428	456	1	4517	1285	2	10			
DiÖu D­¬ng T­ Kh«ng T¨ng M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap108.spr	28	2	2	Bé trang bÞ ThiÕu L©m §ao cÊp DiÖu D­¬ng  (2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	0									4505	4490	4506	4497	4511	4513	428	456	2	1435	1285	2	10			
DiÖu D­¬ng T­ Kh«ng §¹i Thõa ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring103.spr	37	1	1	Bé trang bÞ ThiÕu L©m §ao cÊp DiÖu D­¬ng  (3)	2	99999	10	0																						36	120	39	0									4505	4487	4506	4508	4511	4512	428	456	3	130		2	10			
