名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1(0级)	魔法属性索引1(10级)	魔法属性索引2(0级)	魔法属性索引2(10级)	魔法属性索引3(0级)	魔法属性索引3(10级)	魔法属性索引4(0级)	魔法属性索引4(10级)	魔法属性索引5(0级)	魔法属性索引5(10级)	魔法属性索引6(0级)	魔法属性索引6(10级)	所在套装	6级技能ID	10级技能ID	扩展套装	扩展套装序号	扩展套装隐藏属性1	扩展套装隐藏属性2
[宋金]魔嗜之殇日戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备，套装第十件	4	999	10	0																						36	120	39	7									694	130	702	752	746		78	19	10	131	837								
[宋金]凌岳之太乙护符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	3	999	10	0																						36	120	39	8									107	92	702	96	706	694	79	20	6	836	837								
[宋金]凌岳之御风靴 	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，套装第七件	0	999	10	0	30	140	140	31	80	80																36	120	39	8									694	587	702	637	722		79	20	7	838	836								
[宋金]凌岳之羽化仙冠	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	黄金装备，套装第八件	4	999	10	0	30	315	315	31	85	85																36	120	39	8									694	638	702	439	596		79	20	8	738	837								
[宋金]凌岳之无象袍	0	2	3	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	黄金装备，套装第九件	3	999	8	0	30	630	630	31	80	80																36	120	39	8									694	695	720	637	598		79	20	9	130	836								
[宋金]凌岳之上善若水腕	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	黄金装备，套装第十件	2	999	10	0	30	140	140	31	80	80																36	120	39	8									694	130	702	753	746	302	79	20	10	131	837								
[宋金]及丰之碧月登云靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，套装第六件	1	999	10	0	30	140	140	31	80	80																36	120	39	8									694	587	702	419	723	423	80	21	6	836	837								
[宋金]及丰之凭虚冠	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	黄金装备，套装第七件	2	999	10	0	30	315	315	31	85	85																36	120	39	8									694	598	702	439	723		80	21	7	838	836								
[宋金]及丰之两仪袍	0	2	3	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	黄金装备，套装第八件	0	999	8	0	30	630	630	31	80	80																36	120	39	8									694	695	423	598	723	597	80	21	8	738	837								
[宋金]及丰之紫霞佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，套装第九件	3	999	10	0																						36	120	39	8									673	713	674	534	550		80	21	9	130	836								
[宋金]及丰之化蝶坐忘戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备，套装第十件	4	999	10	0																						36	120	39	8									694	130	702	753	746		80	21	10	131	837								
[宋金]霜晶之风雷护心符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	0	999	10	0																						36	120	39	9									731	79	419	322	723	694	81	22	6	836	837								
[宋金]霜晶之步罡踏斗靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，套装第七件	1	999	10	0	30	140	140	31	80	80																36	120	39	9									694	587	702	622	723	640	81	22	7	838	836								
[宋金]霜晶之玄典纯阳冠	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	黄金装备，套装第八件	2	999	10	0	30	315	315	31	85	85																36	120	39	9									694	637	702	439	723	419	81	22	8	738	837								
[宋金]霜晶之九霄尊道袍	0	2	3	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	黄金装备，套装第九件	0	999	8	0	30	630	630	31	80	80																36	120	39	9									694	695	423	637	723	746	81	22	9	130	836								
[宋金]霜晶之驱邪镇煞戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备，套装第十件	4	999	10	0																						36	120	39	9									694	130	702	753	746		81	22	10	131	837								
[宋金]雷穹之北乾靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，套装第六件	0	999	10	0	30	140	140	31	80	80																36	120	39	9									694	587	702	637	722	636	82	23	6	836	837								
[宋金]雷穹之七星剑	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	黄金装备，套装第七件	4	999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	120	39	9									694	597	702	423	634	168	82	23	7	838	836								
[宋金]雷穹之玉枢袍	0	2	3	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	黄金装备，套装第八件	3	999	8	0	30	630	630	31	80	80																36	120	39	9									694	695	720	637	598		82	23	8	738	837								
[宋金]雷穹之星辰佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，套装第九件	2	999	10	0																						36	120	39	9									673	713	674	534	550		82	23	9	130	836								
[宋金]雷穹之碧落戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备，套装第十件	1	999	10	0																						36	120	39	9									694	130	702	753	746		82	23	10	131	837								
梦圆手链（测试版）	0	14	0	\spr\item\obj_yingchundai.spr	37	1	1	黄金装备	5	999	10	0																						36	120																		24	1	131	837								
梦圆之印（测试版）	0	13	0	\spr\item\tianziyuxi.spr	37	1	1	黄金装备	5	999	10	0																						36	120																		25	1	131	837								
梦圆披风（测试版）	0	12	0	\spr\item\obj_item_mantle.spr	37	1	1	黄金装备	5	999	10	0																						36	120																		26	1	131	837								
[限时白金]梦龙之正黄僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	临时白金装备，套装第一件。可在铁匠处提升白金等级	1	99999	10	0	30	360	360	31	85	85																36	120	32	160	39	0							2	616	624	624	46	591	311	598	599	601	450	450	1	768	798	1	1		
[限时白金]梦龙之金丝正红袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	临时白金装备，套装第二件。可在铁匠处提升白金等级	2	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	0							2	616	40	675	491	491	307	637	6	609	324	324	1	846	851	1	2		
[限时白金]梦龙之玄丝法带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	0	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							418	4	309	639	651	651	311	598	416	641	417	31	1	775	807	1	3		
[限时白金]梦龙之佛法玄佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	4	99999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			1	879	878	1	4		
[限时白金]梦龙之紫金般若戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	临时白金装备，套装第五件。可在铁匠处提升白金等级	0	99999	10	0	31	80	80																			36	120	39	0									759	784	307	637	718	8	309	639	785	785	786	786	1	901	907	1	5		
[限时白金]伏魔之紫金棍	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	临时白金装备，套装第一件。可在铁匠处提升白金等级	0	99999	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	120	32	180	39	0							48	592	43	43	52	625	71	594	113	595	450	450	2	766	767	2	1		
[限时白金]伏魔之无量金刚腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	临时白金装备，套装第二件。可在铁匠处提升白金等级	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	0							2	616	307	637	762	762	423	642	787	787	788	788	2	902	908	2	2		
[限时白金]伏魔之乌金软绦	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							418	4	309	639	652	652	311	598	416	641	417	31	2	776	808	2	3		
[限时白金]伏魔之佛心软扣	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	1	99999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			2	881	880	2	4		
[限时白金]伏魔之普渡僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	临时白金装备，套装第五件。可在铁匠处提升白金等级	2	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	325	325	320	588	88	419	6	609	437	309	2	848	852	2	5		
[限时白金]四空之降魔戒刀	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	临时白金装备，套装第一件。可在铁匠处提升白金等级	0	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	0							2	616	43	43	48	592	71	593	113	595	450	450	3	766	767	3	1		
[限时白金]四空之达摩僧鞋	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	临时白金装备，套装第二件。可在铁匠处提升白金等级	2	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	320	588	718	8	307	637	789	789	790	790	3	903	909	3	2		
[限时白金]四空之护法腰带	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	309	639	652	652	311	598	416	641	425	643	3	777	809	3	3		
[限时白金]四空之软皮护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	0							2	616	417	31	326	326	311	598	6	609	676	676	3	849	853	3	4		
[限时白金]四空之戒律法戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	临时白金装备，套装第五件。可在铁匠处提升白金等级	2	99999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			3	883	882	3	5		
[限时白金]撼天之金环大眼神锤	0	0	4	\spr\item\equip\closeweapon\obj-adha05.spr	13	2	2	临时白金装备，套装第一件。可在铁匠处提升白金等级	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	120	32	235	39	1							135	135	50	599	46	592	69	593	110	111	73	73	4	766	767	4	1		
[限时白金]撼天之武神镶金甲	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	临时白金装备，套装第二件。可在铁匠处提升白金等级	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	616	40	675	318	832	757	757	311	598	791	791	4	901	911	4	2		
[限时白金]撼天之威武束腰环	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	653	653	311	598	416	641	647	647	4	779	811	4	3		
[限时白金]撼天之虎头紧束腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130	747	739	748	740	741	749			4	879	878	4	4		
[限时白金]撼天之乘龙战靴	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	临时白金装备，套装第五件。可在铁匠处提升白金等级	1	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	320	588	677	677	419	638	319	678	679	679	4	846	855	4	5		
[限时白金]继业之奔雷钻龙枪	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	临时白金装备，套装第一件。可在铁匠处提升白金等级	2	99999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	120	32	165	33	165	39	1					57	620	51	625	46	592	69	593	110	111	73	73	5	766	767	5	1		
[限时白金]继业之玄武黄金铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	临时白金装备，套装第二件。可在铁匠处提升白金等级	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	616	40	675	680	680	79	311	685	319	686	686	5	848	854	5	2		
[限时白金]继业之白虎无双扣	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	654	654	311	598	416	641	647	647	5	778	810	5	3		
[限时白金]继业之火云麒麟手	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130	747	739	748	740	741	749			5	881	880	5	4		
[限时白金]继业之朱雀凌云靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	临时白金装备，套装第五件。可在铁匠处提升白金等级	1	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	320	588	763	763	758	758	88	419	792	792	5	902	910	5	5		
[限时白金]御龙之亮银宝刀	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	临时白金装备，套装第一件。可在铁匠处提升白金等级	2	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	1							57	620	52	625	46	592	69	593	110	111	73	73	6	766	767	6	1		
[限时白金]御龙之战神挂坠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	临时白金装备，套装第二件。可在铁匠处提升白金等级	0	99999	10	0																						36	120	39	1									2	616	438	88	79	311	107	107	681	681	711	687	6	849	856	6	2		
[限时白金]御龙之天门束腰环	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	655	655	311	598	416	641	647	647	6	780	812	6	3		
[限时白金]御龙之迅风发箍	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	28	2	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	2	99999	10	0	30	360	360	31	85	85																36	120	32	160	39	1							2	616	311	598	319	678	327	327	423	642	793	793	6	903	912	6	4		
[限时白金]御龙之绝命指环	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	临时白金装备，套装第五件。可在铁匠处提升白金等级	1	99999	10	0																						36	120	39	1									129	129	130	130	747	739	748	740	741	749			6	883	882	6	5		
[限时白金]无间之倚天剑	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	临时白金装备，套装第一件。可在铁匠处提升白金等级	0	99999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	120	32	110	39	4							2	616	43	43	48	592	71	593	113	595	461	461	7	766	767	7	1		
[限时白金]无间之清风软屐	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	临时白金装备，套装第二件。可在铁匠处提升白金等级	2	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	4							719	4	320	588	718	8	313	597	811	811	794	794	7	901	918	7	2		
[限时白金]无间之拂云丝带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	4							418	4	309	639	656	656	307	637	6	609	425	643	7	786	818	7	3		
[限时白金]无间之琴韵护腕	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	4							2	616	329	329	439	682	307	637	6	609	683	683	7	846	862	7	4		
[限时白金]无间之白玉般指	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	临时白金装备，套装第五件。可在铁匠处提升白金等级	2	99999	10	0																						36	120	39	4									129	129	130	130	747	739	748	740	743	751			7	879	878	7	5		
[限时白金]无魇之摩尼冠	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	临时白金装备，套装第一件。可在铁匠处提升白金等级	2	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	4							2	616	307	637	420	640	309	639	6	609	427	628	8	787	819	8	1		
[限时白金]无魇之秋水流光带	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	临时白金装备，套装第二件。可在铁匠处提升白金等级	4	99999	10	0	30	140	140	31	80	80																36	120	32	135	39	4							2	616	312	596	718	8	309	639	812	812	427	628	8	902	919	8	2		
[限时白金]无魇之冰晶指环	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	4	99999	10	0	31	80	80																			36	120	39	4									129	129	130	130	747	739	748	740	743	751			8	881	880	8	3		
[限时白金]无魇之洗象玉扣	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	1	99999	10	0	31	60	60																			36	120	39	4									146	632	304	304	57	621	322	313	498	498	499	499	8	769	801	8	4		
[限时白金]无魇之红缁软禢鞋	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	临时白金装备，套装第五件。可在铁匠处提升白金等级	1	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	4							146	717	320	588	684	684	88	419	8	612	330	330	8	848	863	8	5		
[限时白金]无尘之玉女素心冠	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	临时白金装备，套装第一件。可在铁匠处提升白金等级	3	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	4							418	418	309	309	197	197	312	312	421	421	420	420	9						
[限时白金]无尘之清心向善珠	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	临时白金装备，套装第二件。可在铁匠处提升白金等级	1	99999	10	0																						36	120	39	4									2	2	88	88	331	331	95	95	8	8	107	107	9						
[限时白金]无尘之慈悲玉般指	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	2	99999	10	0																						36	120	39	4									129	129	130	130	747	739	748	740	743	751			9	883	882				
[限时白金]无尘之静影流苏	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	1	99999	10	0	31	60	60																			36	120	39	4									2	616	88	419	718	8	420	640	813	813	795	795	9						
[限时白金]无尘之佛光指环	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	临时白金装备，套装第五件。可在铁匠处提升白金等级	1	99999	10	0	31	80	80																			36	120	39	4									2	2	419	419	6	6	203	203	417	417	115	115	9						
[限时白金]栖凰之凤仪刀	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	临时白金装备，套装第一件。可在铁匠处提升白金等级	0	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	5							2	616	43	43	48	592	71	593	113	595	462	462	10	766	767	9	1		
[限时白金]栖凰之慧心长生扣	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	临时白金装备，套装第二件。可在铁匠处提升白金等级	1	99999	10	0	31	60	60																			36	120	39	5									759	784	88	419	39	39	423	642	814	814	796	796	10	901	920	9	2		
[限时白金]栖凰之风雪白云束带	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	5							2	616	309	639	657	657	307	637	6	609	773	689	10	788	820	9	3		
[限时白金]栖凰之冰踪锦腕	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	5							2	616	333	333	439	682	307	637	6	609	688	688	10	846	864	9	4		
[限时白金]栖凰之翠玉指环	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	临时白金装备，套装第五件。可在铁匠处提升白金等级	2	99999	10	0																						36	120	39	5									129	129	130	130	747	739	748	740	743	751			10	879	878	9	5		
[限时白金]碧海之鸳鸯连环刀	0	0	5	\spr\item\equip\closeweapon\obj-adsd15.spr	14	2	3	临时白金装备，套装第一件。可在铁匠处提升白金等级	2	99999	10	0	28	62	62	29	92	92	167	20	20	31	99	99										36	120	32	160	39	5							4	619	304	304	465	465	148	633	8	612	462	462	11	770	802	10	1		
[限时白金]碧海之环珠宣清巾	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	临时白金装备，套装第二件。可在铁匠处提升白金等级	2	99999	10	0	30	315	315	31	85	85																36	120	39	5									719	4	88	419	718	8	420	640	815	815	797	797	11	902	921	10	2		
[限时白金]碧海之红铃金丝带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	4	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	5							2	616	309	639	658	658	419	638	421	8	422	422	11	789	821	10	3		
[限时白金]碧海之红铃波	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	0	99999	10	0	31	60	60																			36	120	39	5									146	632	296	689	418	4	39	39	322	313	690	690	11	848	865	10	4		
[限时白金]碧海之纤细指环	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	临时白金装备，套装第五件。可在铁匠处提升白金等级	1	99999	10	0																						36	120	39	5									129	129	130	130	747	739	748	740	743	751			11	881	880	10	5		
[限时白金]幽胧之金蛇发带	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	临时白金装备，套装第一件。可在铁匠处提升白金等级	1	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	3							2	616	302	302	691	691	143	692	6	609	693	693	12	846	861	11	1		
[限时白金]幽胧之赤蝎秘装	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	临时白金装备，套装第二件。可在铁匠处提升白金等级	2	99999	10	0	30	630	630	31	90	90																36	120	32	135	39	3							616	759	771	831	306	695	423	642	311	598	334	334	12	901	917	11	2		
[限时白金]幽胧之青蜈缠腰	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	0	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	3							2	616	309	639	659	659	307	637	6	609	423	642	12	785	817	11	3		
[限时白金]幽胧之银蟾护手	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	4	99999	10	0	30	111	111	31	80	80																36	120	32	90	39	3							129	129	130	130	747	739	748	740	742	750			12	879	878	11	4		
[限时白金]幽胧之墨蛛软履	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	临时白金装备，套装第五件。可在铁匠处提升白金等级	1	99999	10	0	30	140	140	31	60	60																36	120	32	50	39	3							1	615	127	589	60	622	103	587	614	613	508	508	12	771	803	11	5		
[限时白金]冥幻之邪刹毒刃	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	临时白金装备，套装第一件。可在铁匠处提升白金等级	2	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	3							46	592	69	71	113	595	73	73	41	772	75	626	13	766	767	12	1		
[限时白金]冥幻之幽蛊暗衣	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	临时白金装备，套装第二件。可在铁匠处提升白金等级	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	3							418	694	336	336	306	695	307	637	6	609	417	31	13	848	860	12	2		
[限时白金]冥幻之毒蝎指环	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	4	99999	10	0																						36	120	39	3									129	129	130	130	747	739	748	740	742	750			13	881	880	12	3		
[限时白金]冥幻之腐骨护腕	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	3							2	616	309	639	660	660	307	637	645	645	425	643	13	784	816	12	4		
[限时白金]冥幻之双环蛇扣	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	临时白金装备，套装第五件。可在铁匠处提升白金等级	4	99999	10	0	30	140	140	31	80	80																36	120	39	3									616	759	312	596	718	8	416	830	816	816	798	798	13	902	916	12	5		
[限时白金]咒缚之破甲头环	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	临时白金装备，套装第一件。可在铁匠处提升白金等级	4	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	3							2	2	337	337	6	6	307	307	233	233	31	31	14						
[限时白金]咒缚之灭雷颈符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	临时白金装备，套装第二件。可在铁匠处提升白金等级	3	99999	10	0																						36	120	39	3									2	2	93	93	234	234	95	95	8	8	107	107	14						
[限时白金]咒缚之幽幻指环	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	1	99999	10	0																						36	120	39	3									129	129	130	130	747	739	748	740	742	750			14	883	882				
[限时白金]咒缚之穿心毒腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	2	99999	10	0	30	111	111	31	80	80																36	120	32	90	39	3							418	418	309	309	161	161	312	312	421	421	423	423	14						
[限时白金]咒缚之蚀骨玉佩	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	临时白金装备，套装第五件。可在铁匠处提升白金等级	3	99999	10	0	31	60	60																			36	120	39	3									2	616	312	596	718	8	416	541	817	817	799	799	14						
[限时白金]冰寒之弹指飞刀	0	1	1	\spr\item\equip\rangeweapon\obj-adart28.spr	15	1	1	临时白金装备，套装第一件。可在铁匠处提升白金等级	0	99999	10	0	28	44	44	29	100	100	167	-20	-20	31	99	99										36	120	32	90	33	110	39	2					2	617	44	44	46	592	69	593	113	595	471	471	15	766	767	13	1		
[限时白金]冰寒之玄衣束甲	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	临时白金装备，套装第二件。可在铁匠处提升白金等级	4	99999	10	0	30	720	720	31	90	90																36	120	32	110	33	165	39	2					418	694	338	338	306	695	307	637	6	609	696	696	15	846	857	13	2		
[限时白金]冰寒之心箭腰扣	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	临时白金装备，套装第三件。可在铁匠处提升白金等级	3	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					418	4	309	639	661	661	307	637	6	609	423	642	15	781	813	13	3		
[限时白金]冰寒之玄天冰火佩	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	临时白金装备，套装第四件。可在铁匠处提升白金等级	1	99999	10	0																						36	120	39	2									129	129	130	130	747	739	748	740	742	750			15	879	878	13	4		
