×°±¸Ãû³Æ	¿ÕÊÖÕ¾Á¢1	¿ÕÊÖÕ¾Á¢2	¿ÕÊÖÕ¾Á¢3	¶ÌÎäÆ÷Õ¾Á¢	³¤ÎäÆ÷Õ¾Á¢	Ë«ÎäÆ÷Õ¾Á¢	ÆÕÍ¨×ßÂ·	¿ÕÊÖ×ßÂ·	¶ÌÎäÆ÷×ßÂ·	³¤ÎäÆ÷×ßÂ·	Ë«ÎäÆ÷×ßÂ·	ÆÕÍ¨ÅÜ²½	¿ÕÊÖÅÜ²½	¶ÌÎäÆ÷ÅÜ²½	³¤ÎäÆ÷ÅÜ²½	Ë«ÎäÆ÷ÅÜ²½	¿ÕÊÖÊÜÉË	¶ÌÎäÆ÷ÊÜÉË	³¤ÎäÆ÷ÊÜÉË	Ë«ÎäÆ÷ÊÜÉË	¿ÕÊÖËÀÍö	¶ÌÎäÆ÷ËÀÍö	³¤ÎäÆ÷ËÀÍö	Ë«ÎäÆ÷ËÀÍö	¿ÕÊÖ¹¥»÷	¶ÌÎäÆ÷´Ì	¶ÌÎäÆ÷¿³	³¤ÎäÆ÷´Á	³¤ÎäÆ÷Åü	Ë«ÎäÆ÷»®	Ë«ÎäÆ÷ÔÒ	°µÆ÷Í¶ÖÀ	¿ÕÊÖÄ§·¨	¶ÌÎäÆ÷Ä§·¨	³¤ÎäÆ÷Ä§·¨	Ë«ÎäÆ÷Ä§·¨	´ò×ø	ÌøÔ¾	ÆïÂíÕ¾Á¢	ÆïÂí×ß¶¯	ÆïÂíÅÜ²½	ÆïÂí¹¥»÷Åü	ÆïÂí¹¥»÷´Ì	ÆïÂíÄ§·¨	ÆïÂíÊÜÉË	ÆïÂíËÀÍö	ÆïÂíÕ¾Á¢1	ÆïÂíÕ¾Á¢2
NguyÖt KhuyÕt HiÓu NguyÖt TriÒn Thñ	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt T­¬ng T­ B¶o §ao	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt Phong NguyÖt Uyªn ¦¬ng §ao	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			88,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt B¸ch §éc TriÒn Thñ	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt U Minh HuyÕt NhÉn	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt Th«i MÖnh Phi §ao	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt BÝ §éc Tô TiÔn	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt M¹n §å Phi Tiªu	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt XÝch Long TriÒn Thñ	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt Hµo KiÖt Tr­îng	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt Tham Lang Th­¬ng	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt LiÖt D­¬ng B¶o §ao	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt Linh §éng ThÇn KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt ¶o ¶nh ThÇn KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt L¨ng Phong B¶o §ao	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt Méc Vò ThÇn KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt DËt ¶nh KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
NguyÖt KhuyÕt Thanh Phong KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng Träng KiÕp TriÒn Thñ																																																
DiÖu D­¬ng S¸t KiÕp Ph¸p C«n																																																
DiÖu D­¬ng Ph¸ KiÕp Giíi §ao																																																
DiÖu D­¬ng PhÊn Vò ThÇn Chïy	80,8,1	64,8,1				64,8,1					88,8,1					96,8,1				48,8,1				80,8,1						128,8,1	96,8,1					80,8,1			112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng Phong Yªn Th­¬ng	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng Tr­êng Kh«ng B¶o §ao	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng Kinh Hång B¶o KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng HiÓu NguyÖt TriÒn Thñ	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng T­¬ng T­ B¶o §ao	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng Phong NguyÖt Uyªn ¦¬ng §ao	80,8,1	64,8,1	64,8,1			64,8,1	96,8,1	96,8,1			88,8,1	96,8,1	96,8,1			96,8,1	64,8,1			48,8,1	104,8,1			80,8,1	96,8,1					128,8,1	96,8,1		96,8,1			80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng B¸ch §éc TriÒn Thñ	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng U Minh HuyÕt NhÉn	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng Th«i MÖnh Phi §ao	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng BÝ §éc Tô TiÔn	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng M¹n §å Phi Tiªu	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng XÝch Long TriÒn Thñ	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1	64,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	96,8,1	64,8,1	64,8,1	48,8,1	48,8,1	104,8,1	120,8,1	80,8,1	80,8,1	96,8,1	104,8,1	104,8,1	104,8,1	96,8,1	128,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	80,8,1	96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng Hµo KiÖt Tr­îng	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng Tham Lang Th­¬ng	80,8,1	64,8,1	64,8,1	96,8,1	64,8,1		96,8,1	96,8,1	96,8,1	96,8,1		96,8,1	96,8,1	96,8,1	96,8,1		64,8,1	64,8,1	48,8,1		104,8,1	120,8,1	80,8,1		96,8,1	104,8,1	104,8,1	104,8,1	96,8,1			96,8,1	96,8,1	80,8,1	96,8,1		96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng LiÖt D­¬ng B¶o §ao	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng Linh §éng ThÇn KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng ¶o ¶nh ThÇn KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng L¨ng Phong B¶o §ao	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng Méc Vò ThÇn KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng DËt ¶nh KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
DiÖu D­¬ng Thanh Phong KiÕm	80,8,1	64,8,1	64,8,1	96,8,1			96,8,1	96,8,1	96,8,1			96,8,1	96,8,1	96,8,1			64,8,1	64,8,1			104,8,1	120,8,1			96,8,1	104,8,1	104,8,1					96,8,1	96,8,1	80,8,1			96,8,1	112,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
null																																																
