Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2
XÝch L©n To¹i Tinh Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash26.spr	33	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp XÝch L©n(5)	2	99999	10	0	30	160	160	31	80	80																36	160	39	7									1877	1856	1896	2099	2256	2216	262	203	5	1430	1277
XÝch L©n To¹i Tinh Gi¸p Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth26.spr	23	2	3	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp XÝch L©n(6)	1	99999	10	0	30	720	720	31	90	90																36	160	39	7									1877	1776	1896	1939	2156	2216	262	203	6	1430	1277
XÝch L©n To¹i Tinh §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade26.spr	10	1	3	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp XÝch L©n(7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	160	39	7									1977	1816	2059	2119	2256	2216	262	203	7	1430	130
XÝch L©n To¹i Tinh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes26.spr	26	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp XÝch L©n(8)	4	99999	10	0	30	160	160	31	80	80																36	160	39	7									1877	1796	1896	1939	2179	2216	262	203	8	1430	1277
XÝch L©n To¹i Tinh Béi	0	9	1	\spr\item\equip\waist\obj-waist22.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp XÝch L©n(9)	0	99999	10	0																						36	160	39	7									1876	1836	1897	2139	2256	2216	262	203	9	1690	1277
XÝch L©n To¹i Tinh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp XÝch L©n(10)	2	99999	10	0																						36	160	39	7									1876	1856	1897	2099	2256	2216	262	203	10	130	
XÝch L©n Tr­êng Sinh Phï	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp XÝch L©n(1)	3	99999	10	0																						36	160	39	8									1876	1776	1896	2139	1919	2216	263	204	1	1692	1277
XÝch L©n Tr­êng Sinh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp XÝch L©n(2)	4	99999	10	0	30	360	360	31	85	85																36	160	39	8									1877	1816	1897	2099	2256	2216	263	204	2	1756	1277
XÝch L©n Tr­êng Sinh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp XÝch L©n(3)	0	99999	10	0																						36	160	39	8									1876	1796	1896	1939	2256	2216	263	204	3	130	
XÝch L©n Tr­êng Sinh Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp XÝch L©n(4)	2	99999	10	0	30	135	135	31	80	80																36	160	39	8									1877	1836	1897	2119	2256	2216	263	204	4	1756	1277
XÝch L©n Tr­êng Sinh Ph¸p §¸i	0	6	1	\spr\item\equip\sash\obj-sash27.spr	33	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp XÝch L©n(5)	1	99999	10	0	30	160	160	31	80	80																36	160	39	8									1877	1856	1896	1939	2256	2216	263	204	5	1693	1277
XÝch L©n Tr­êng Sinh §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp XÝch L©n(6)	3	99999	10	0	30	720	720	31	90	90																36	160	39	8									1877	1776	1896	2139	2156	2216	263	204	6	1756	1277
XÝch L©n Tr­êng Sinh KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp XÝch L©n(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	160	39	8									1977	1816	2079	2099	2256	2216	263	204	7	1756	130
XÝch L©n Tr­êng Sinh Lý	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp XÝch L©n(8)	0	99999	10	0	30	160	160	31	80	80																36	160	39	8									1877	1796	1896	1939	2179	2216	263	204	8	1694	1277
XÝch L©n Tr­êng Sinh Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp XÝch L©n(9)	2	99999	10	0																						36	160	39	8									1876	1836	1897	2119	2256	2216	263	204	9	1756	1422
XÝch L©n Tr­êng Sinh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp XÝch L©n(10)	1	99999	10	0																						36	160	39	8									1876	1856	1897	1939	2256	2216	263	204	10	130	
XÝch L©n NhÞ Cæ Phï	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp XÝch L©n(1)	0	99999	10	0																						36	160	39	8									1876	1776	1896	2139	1919	2216	264	205	1	1696	1277
XÝch L©n NhÞ Cæ Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp XÝch L©n(2)	2	99999	10	0	30	360	360	31	85	85																36	160	39	8									1877	1816	1897	2099	2256	2216	264	205	2	1756	1277
XÝch L©n NhÞ Cæ Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp XÝch L©n(3)	1	99999	10	0																						36	160	39	8									1876	1796	1896	1939	2256	2216	264	205	3	130	
XÝch L©n NhÞ Cæ Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp XÝch L©n(4)	3	99999	10	0	30	135	135	31	80	80																36	160	39	8									1877	1836	1897	2119	2256	2216	264	205	4	1756	1423
XÝch L©n NhÞ Cæ Ph¸p §¸i	0	6	0	\spr\item\equip\sash\obj-sash27.spr	32	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp XÝch L©n(5)	4	99999	10	0	30	160	160	31	80	80																36	160	39	8									1877	1856	1896	1939	2256	2216	264	205	5	1697	1277
XÝch L©n NhÞ Cæ §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp XÝch L©n(6)	0	99999	10	0	30	720	720	31	90	90																36	160	39	8									1877	1776	1896	2139	2156	2216	264	205	6	1756	1277
XÝch L©n NhÞ Cæ KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp XÝch L©n(7)	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	160	39	8									1958	1816	1999	2099	2241	2216	264	205	7	1756	130
XÝch L©n NhÞ Cæ Lý	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp XÝch L©n(8)	1	99999	10	0	30	160	160	31	80	80																36	160	39	8									1877	1796	1896	1939	2179	2216	264	205	8	1756	1277
XÝch L©n NhÞ Cæ Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp XÝch L©n(9)	3	99999	10	0																						36	160	39	8									1876	1836	1897	2119	2256	2216	264	205	9	1698	1277
XÝch L©n NhÞ Cæ H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp XÝch L©n(10)	4	99999	10	0																						36	160	39	8									1876	1856	1897	1939	2256	2216	264	205	10	130	
XÝch L©n Cµn Viªn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp XÝch L©n(1)	0	99999	10	0																						36	160	39	9									1876	1776	1896	1939	1919	2216	265	206	1	1700	1277
XÝch L©n Cµn Viªn §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp XÝch L©n(2)	2	99999	10	0	30	360	360	31	85	85																36	160	39	9									1877	1816	1897	2119	2256	2216	265	206	2	1430	1277
XÝch L©n Cµn Viªn Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp XÝch L©n(3)	1	99999	10	0																						36	160	39	9									1876	1796	1896	1939	2256	2216	265	206	3	130	
XÝch L©n Cµn Viªn Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp XÝch L©n(4)	3	99999	10	0	30	135	135	31	80	80																36	160	39	9									1877	1836	1897	2139	2256	2216	265	206	4	1430	1424
XÝch L©n Cµn Viªn Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash27.spr	33	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp XÝch L©n(5)	4	99999	10	0	30	160	160	31	80	80																36	160	39	9									1877	1856	1896	2099	2256	2216	265	206	5	1701	1277
XÝch L©n Cµn Viªn §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	Bé trang bÞ C«n L«n ®ao ph¸p cÊp XÝch L©n(6)	0	99999	10	0	30	720	720	31	90	90																36	160	39	9									1877	1776	1896	1939	2156	2216	265	206	6	1430	1277
XÝch L©n Cµn Viªn §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ C«n L«n ®ao ph¸p cÊp XÝch L©n(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	160	39	9									1959	1816	1999	2119	2241	2216	265	206	7	1430	130
XÝch L©n Cµn Viªn Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp XÝch L©n(8)	1	99999	10	0	30	160	160	31	80	80																36	160	39	9									1877	1796	1896	1939	2179	2216	265	206	8	1430	1277
XÝch L©n Cµn Viªn Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp XÝch L©n(9)	3	99999	10	0																						36	160	39	9									1876	1836	1897	2139	2256	2216	265	206	9	1702	1277
XÝch L©n Cµn Viªn H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp XÝch L©n(10)	4	99999	10	0																						36	160	39	9									1876	1856	1897	2099	2256	2216	265	206	10	130	
XÝch L©n Tr­êng Kh«ng Phï	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp XÝch L©n(1)	3	99999	10	0																						36	160	39	9									1876	1776	1896	1939	1919	2216	266	207	1	1704	1277
XÝch L©n Tr­êng Kh«ng §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp XÝch L©n(2)	4	99999	10	0	30	360	360	31	85	85																36	160	39	9									1877	1816	1897	2119	2256	2216	266	207	2	1430	1277
XÝch L©n Tr­êng Kh«ng Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp XÝch L©n(3)	0	99999	10	0																						36	160	39	9									1876	1796	1896	1939	2256	2216	266	207	3	130	
XÝch L©n Tr­êng Kh«ng Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp XÝch L©n(4)	2	99999	10	0	30	135	135	31	80	80																36	160	39	9									1877	1836	1897	2139	2256	2216	266	207	4	1430	1425
XÝch L©n Tr­êng Kh«ng Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash27.spr	32	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp XÝch L©n(5)	1	99999	10	0	30	160	160	31	80	80																36	160	39	9									1877	1856	1896	2099	2256	2216	266	207	5	1705	1277
XÝch L©n Tr­êng Kh«ng §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp XÝch L©n(6)	3	99999	10	0	30	720	720	31	90	90																36	160	39	9									1877	1776	1896	1939	2156	2216	266	207	6	1430	1277
XÝch L©n Tr­êng Kh«ng KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword26.spr	9	1	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp XÝch L©n(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	160	39	9									1978	1816	2079	2119	2256	2216	266	207	7	1430	130
XÝch L©n Tr­êng Kh«ng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp XÝch L©n(8)	0	99999	10	0	30	160	160	31	80	80																36	160	39	9									1877	1796	1896	1939	2179	2216	266	207	8	1430	1277
XÝch L©n Tr­êng Kh«ng Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp XÝch L©n(9)	2	99999	10	0																						36	160	39	9									1876	1836	1897	2139	2256	2216	266	207	9	1706	1277
XÝch L©n Tr­êng Kh«ng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp XÝch L©n(10)	1	99999	10	0																						36	160	39	9									1876	1856	1897	2099	2256	2216	266	207	10	130	
Siªu Quang	0	10	13	\spr\item\equip\horse\horse003.spr	40	2	3	<color=Yellow>Mét trong b¸t tuÊn cña Chu Môc V­¬ng, tho¾t Èn tho¾t hiÖn.<color>	5	99999	10	0	111	120	120	93	1200	1200																36	150											838	1879	130	3074							
È­ÉÙÁÖ-³õ¿úÃÅ¾¶	0	11	578	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1311	1311	233	484	484	234	3	3	190	3	3										39	0											2819		3092		2937						
¹÷ÉÙÁÖ-³õ¿úÃÅ¾¶	0	11	579	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1311	1311	233	484	484	234	3	3	190	3	3										39	0											2820		3092		2937						
µ¶ÉÙÁÖ-³õ¿úÃÅ¾¶	0	11	580	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1311	1311	233	484	484	234	3	3	190	3	3										39	0											2821		3092		2937						
µ¶ÌìÍõ-³õ¿úÃÅ¾¶	0	11	581	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1310	1310	233	484	484	234	3	3	190	3	3										39	1											2822		3093		2937						
´¸ÌìÍõ-³õ¿úÃÅ¾¶	0	11	582	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1310	1310	233	484	484	234	3	3	190	3	3										39	1											2823		3093		2937						
Ç¹ÌìÍõ-³õ¿úÃÅ¾¶	0	11	583	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1310	1310	233	484	484	234	3	3	190	3	3										39	1											2824		3093		2937						
½£¶ëÃ¼-³õ¿úÃÅ¾¶	0	11	584	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1314	1314	233	484	484	234	3	3	190	3	3										39	4											2825		3096		2937						
ÕÆ¶ëÃ¼-³õ¿úÃÅ¾¶	0	11	585	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1314	1314	233	484	484	234	3	3	190	3	3										39	4											2826		3096		2937						
µ¶´äÑÌ-³õ¿úÃÅ¾¶	0	11	586	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1315	1315	233	484	484	234	3	3	190	3	3										39	5											2827		3097		2937						
ÄÚ´äÑÌ-³õ¿úÃÅ¾¶	0	11	587	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1315	1315	233	484	484	234	3	3	190	3	3										39	5											2828		3097		2937						
ÕÆÎå¶¾-³õ¿úÃÅ¾¶	0	11	588	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1312	1312	233	484	484	234	3	3	190	3	3										39	3											2829		3094		2937						
µ¶Îå¶¾-³õ¿úÃÅ¾¶	0	11	589	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1312	1312	233	484	484	234	3	3	190	3	3										39	3											2830		3094		2937						
·Éµ¶ÌÆ-³õ¿úÃÅ¾¶	0	11	590	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1313	1313	233	484	484	234	3	3	190	3	3										39	2											2831		3095		2937						
åó¼ýÌÆ-³õ¿úÃÅ¾¶	0	11	591	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1313	1313	233	484	484	234	3	3	190	3	3										39	2											2832		3095		2937						
·ÉïÚÌÆ-³õ¿úÃÅ¾¶	0	11	592	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1313	1313	233	484	484	234	3	3	190	3	3										39	2											2833		3095		2937						
ÕÆØ¤°ï-³õ¿úÃÅ¾¶	0	11	593	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1317	1317	233	484	484	234	3	3	190	3	3										39	6											2834		3099		2937						
¹÷Ø¤°ï-³õ¿úÃÅ¾¶	0	11	594	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1317	1317	233	484	484	234	3	3	190	3	3										39	6											2835		3099		2937						
Õ½ÌìÈÌ-³õ¿úÃÅ¾¶	0	11	595	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1316	1316	233	484	484	234	3	3	190	3	3										39	7											2836		3098		2937						
Ä§ÌìÈÌ-³õ¿úÃÅ¾¶	0	11	596	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1316	1316	233	484	484	234	3	3	190	3	3										39	7											2837		3098		2937						
ÆøÎäµ±-³õ¿úÃÅ¾¶	0	11	597	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1318	1318	233	484	484	234	3	3	190	3	3										39	8											2838		3100		2937						
½£Îäµ±-³õ¿úÃÅ¾¶	0	11	598	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1318	1318	233	484	484	234	3	3	190	3	3										39	8											2839		3100		2937						
µ¶À¥ÂØ-³õ¿úÃÅ¾¶	0	11	599	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1319	1319	233	484	484	234	3	3	190	3	3										39	9											2840		3101		2937						
½£À¥ÂØ-³õ¿úÃÅ¾¶	0	11	600	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÉÙÁ¿µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1319	1319	233	484	484	234	3	3	190	3	3										39	9											2841		3101		2937						
È­ÉÙÁÖ-µÇÌÃÈëÊÒ	0	11	601	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÒ»¶¨µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1244	1244	233	780	780	234	7	7	190	5	5										39	0											2842		3102		2938						
¹÷ÉÙÁÖ-µÇÌÃÈëÊÒ	0	11	602	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÒ»¶¨µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1244	1244	233	780	780	234	7	7	190	5	5										39	0											2843		3102		2938						
µ¶ÉÙÁÖ-µÇÌÃÈëÊÒ	0	11	603	\spr\item\equip\mask\yrmj_01.spr	379	1	1	´÷ÉÏºó¼´¿ÉÒ×ÈÝ³É¸ÃNPCµÄÑù×Ó£¬²¢»ñµÃÒ»¶¨µÄÊôÐÔÄÜÁ¦ÌáÉý¡£	5	100	1	0		1244	1244	233	780	780	234	7	7	190	5	5										39	0											2844		3102		2938						
